isbn,book_title,author,class_title,professor
9780745642666,Ethnicity,"Fenton, Steve",Philosophical Visions of American Pluralism,Dr. Jacoby Adeshei Carter
9780807026366,The Racism of People Who Love You: Essays on Mixed Race Belonging,"Mehta, Samira",Philosophical Visions of American Pluralism,Dr. Jacoby Adeshei Carter
9780674025714,We Who Are Dark: The Philosophical Foundations of Black Solidarity,"Shelby, Tommie",Philosophical Visions of American Pluralism,Dr. Jacoby Adeshei Carter
9780745649665,Race: A Philosophical Introduction,"Taylor, Paul C.",Philosophical Visions of American Pluralism,Dr. Jacoby Adeshei Carter
9780813343686,Fair Play: The Ethics of Sport,Robert L. Simon,ETHICS IN SPORTS,Dr. Jan Boxill
9780813346083,"The Ethics of Coaching Sports: Moral, Social and Legal Issues","Simon, Robert",ETHICS IN SPORTS,Dr. Jan Boxill
9781985346819,Five Dialogues,Plato,Introduction to Philosophy,Craig Vasey
9780872201927,Meditations on First Philosophy (Hackett Classics), Rene Descartes,Introduction to Philosophy,Craig Vasey
9780872204027,Dialogues Concerning Natural Religion (Hackett Classics)," Hume, David",Introduction to Philosophy,Craig Vasey
9781501764288,The Racial Contract,"Mills, Charles W.",Introduction to Philosophy,Craig Vasey
