isbn,book_title,author,class_title,professor
9780800636098,Jesus and Nonviolence: a Third Way,Walter Wink,Philosophy of Nonviolence,Duane Cady
9780739155448,Gandhi’s Experiments with Truth,Richard L. Johnson,Philosophy of Nonviolence,Duane Cady
9780060646912,A Testament of Hope,"Martin Luther King, Jr.",Philosophy of Nonviolence,Duane Cady
9780241631645,On Violence,Hannah Arendt,Philosophy of Nonviolence,Duane Cady
9781439903124,From Warism to Pacifism: A Moral Continuum,Duane Cady,Philosophy of Nonviolence,Duane Cady
9781888375404,Being Peace,Thich Nhat Hanh,Philosophy of Nonviolence,Duane Cady
9780679779124,Violence: Discussions on an American Epidemic,James Gilligan,Philosophy of Nonviolence,Duane Cady
9780292785328,Inca Myths,Gary Urton,"Living with Pachamama:
Indigenous Philosophy, Religion, and Lifeways in the Andes from the Inkas to the
Present",Jim Maffie
9781444331158,The Incas,Terence D’Altroy,"Living with Pachamama:
Indigenous Philosophy, Religion, and Lifeways in the Andes from the Inkas to the
Present",Jim Maffie
9781588340320,"The Hold Life Has: Coca and Cultural identity in an Andean
Community",Catherine J. Allen,"Living with Pachamama:
Indigenous Philosophy, Religion, and Lifeways in the Andes from the Inkas to the
Present",Jim Maffie
