isbn,book_title,author,class_title,professor
9780190698720,Introduction to Philosophy: Classical and Contemporary Readings,John Perry; Michael Bratman; John Martin Fischer,Introduction to Philosophical Problems,David Miguel Gray
9780465030910,The Mind's I: Fantasies And Reflections On Self & Soul,Douglas R Hofstadter; Daniel C. Dennett,Introduction to Philosophical Problems,David Miguel Gray
9781985346819,Five Dialogues,Plato,Introduction to Philosophy,Craig Vasey
9780872201927,Meditations on First Philosophy,Rene Descartes,Introduction to Philosophy,Craig Vasey
9780872204027,Dialogues Concerning Natural Religion,David Hume,Introduction to Philosophy,Craig Vasey
9781501764288,The Racial Contract,Charles W. Mills,Introduction to Philosophy,Craig Vasey
9780717802418,The Communist Manifesto,Karl Marx; Friedrich Engels,Introduction to Philosophy,Craig Vasey
9780140449235,Beyond Good and Evil,Friedrich Nietzsche,Introduction to Philosophy,Craig Vasey
9780394719856,The Gay Science: With a Prelude in Rhymes and an Appendix of Songs,Friedrich Nietzsche,Introduction to Philosophy,Craig Vasey
9781989201688,Thus Spoke Zarathustra,Friedrich Nietzsche,Introduction to Philosophy,Craig Vasey
9780307277787,The Second Sex,Simone De Beauvoir,Introduction to Philosophy,Craig Vasey
9780241339466,Letter From Birmingham Jail,Martin Luther King. Jr.,Introduction to Philosophy,Craig Vasey
9780393311600,Killers of the Dream,Lillian Smith,Introduction to Philosophy,Craig Vasey
9780078038266,Looking At Philosophy: The Unbearable Heaviness of Philosophy Made Lighter,Donald Palmer,Introduction to Philosophy,Craig Vasey
9781614274865,The Problems of Philosophy,Bertrand Russell,Introduction to Philosophy: Knowledge and Reality,Lisa Shapiro
9780872201927,Meditations on First Philosophy,Rene Descartes,Introduction to Philosophy: Knowledge and Reality,Lisa Shapiro
9780872202290,An Enquiry Concerning Human Understanding,David Hume,Introduction to Philosophy: Knowledge and Reality,Lisa Shapiro
