isbn,book_title,author,class_title,professor
0684717255,I and Thou,M. Buber,Abrahamic Religious Thought,Michael P. Berman
9780061173936,"Jesus, Interrupted",Bart D. Ehrman,Abrahamic Religious Thought,Michael P. Berman
0807002291,The Place of Tolerance in Islam,Khaled Abou El fadl,Abrahamic Religious Thought,Michael P. Berman
0192853449,The Koran: A Very Short Introduction,Michael Cook,Abrahamic Religious Thought,Michael P. Berman
9780195141283,Makers of Contemporary Islam,John L. Esposito; John Voll,Abrahamic Religious Thought,Michael P. Berman
9780809123339,"The Contemplative Life, Giants and Selections",Philo of Alexandria,Jewish Philosophy,Peter Groff
9780872203242,The Guide of the Perplexed,Moses Maimonides; Daniel H. Frank,Jewish Philosophy,Peter Groff
9780872206076,Theological-Political Treatise,Baruch Spinoza,Jewish Philosophy,Peter Groff
9781578989973,I and Thou,Martin Buber,Jewish Philosophy,Peter Groff
9788426413451,ichmann in Jerusalem: A Report on the Banality of Evil,Hannah Arendt,Jewish Philosophy,Peter Groff
9780631164470,The Levinas Reader,Emmanuel Levinas,Jewish Philosophy,Peter Groff
9780140448948,City of God,Augustine of Hippo,Medieval Philosophy,Peter Groff
9780934893770,The Metaphysics of The Healing,Avicenna,Medieval Philosophy,Peter Groff
9780872203242,The Guide of the Perplexed,Moses Maimonides; Daniel H. Frank,Medieval Philosophy,Peter Groff
9781928832430,Aquinas's Shorter Summa,St. Thomas Aquinas,Medieval Philosophy,Peter Groff
