isbn,book_title,author,class_title,professor
9780802130310,What the Buddha Taught: Revised and Expanded Edition with Texts from Suttas and Dhammapada,Walpola Rahula,An Introduction to Buddhist Thought,Michael P. Berman
9781611808414,"Zen Mind, Beginner's Mind: 50th Anniversary Edition","Suzuki, Shunryu",An Introduction to Buddhist Thought,Michael P. Berman
9781614298465,Nagarjuna's Precious Garland: Ratnavali (Classics of Indian Buddhism),"McClintock, Sara L. - Dunne, John D.",An Introduction to Buddhist Thought,Michael P. Berman
9780061142666,Tao Te Ching: A New English Version (Perennial Classics),Lao Tzu,An Introduction to Buddhist Thought,Michael P. Berman
9781387810796,The Analects of Confucius: The Books of Confucian Wisdom - Complete,"Legge, James - Confucius, .",An Introduction to Buddhist Thought,Michael P. Berman
9780292785328,Inca Myths (Legendary Past),"Urton, Gary","Indigenous Philosophy, Religion, and Lifeways in the Andes from the Inkas to the Present",Jim Maffie
9781444331158,The Incas (Peoples of America)," D'Altroy, Terence N.","Indigenous Philosophy, Religion, and Lifeways in the Andes from the Inkas to the Present",Jim Maffie
9780874742558,The Hold Life Has: Coca and Cultural Identity in an Andean Community,Catherine J. Allen,"Indigenous Philosophy, Religion, and Lifeways in the Andes from the Inkas to the Present",Jim Maffie
9781586380205,The Dhammapada (Easwaran's Classics of Indian Spirituality Book 3),"Easwaran, Eknath",The Forms and Methods of Buddhist Philosophy,Dr. Timothy M. Kwiatek
9781590303887,"The Way of the Bodhisattva: (Bodhicaryavatara), Revised Edition (Shambhala Classics)",Shantideva,The Forms and Methods of Buddhist Philosophy,Dr. Timothy M. Kwiatek
9780865473997,The Zen Teaching of Bodhidharma (English and Chinese Edition),Bodhidharma,The Forms and Methods of Buddhist Philosophy,Dr. Timothy M. Kwiatek
9780231171595,"Readings of D?gen's ""Treasury of the True Dharma Eye"" (Columbia Readings of Buddhist Literature)","Heine, Steven",The Forms and Methods of Buddhist Philosophy,Dr. Timothy M. Kwiatek
