isbn,book_title,author,class_title,professor
9781492720034,Narrative of the life Frederick Douglass, Frederick Douglass,Black Nature: African American Nature Writing,Jonathan Howard
9781609809553,Parable of the Sower and Parable of the Talents,"Octavia E. Butler, TK, Gloria Steinham, and Toshi Reagon",Black Nature: African American Nature Writing,Jonathan Howard
9781849353977,Undrowned,Alexis Pauline Gumbs and adrienne maree brown,Black Nature: African American Nature Writing,Jonathan Howard
9781508280309,The Deep, Rivers Solomon,Black Nature: African American Nature Writing,Jonathan Howard
9780820332772,Black nature, Camille T. Dungy,Black Nature: African American Nature Writing,Jonathan Howard
9781466128293,I Know Why the Caged Bird Sings,Maya Angelou,African American Autobiography,Sarah Mahurin
9781400041152,"Brother, I'm dying",Edwidge Danticat,African American Autobiography,Sarah Mahurin
9780887480218,Thomas and Beulah,Rita Dove,African American Autobiography,Sarah Mahurin
9780060920999,Three Classic Works by Zora Neale Hurston,Zora Neale Hurston,African American Autobiography,Sarah Mahurin
9781490507545,Incidents in the Life of a Slave Girl,Harriet A. Jacobs,African American Autobiography,Sarah Mahurin
9780465026333,Gay New York, George Chauncey,"Sex, Gender, and American Moderns",Scott Herring
9780393285680,"Wayward Lives, Beautiful Experiments",Saidiya V. Hartman,"Sex, Gender, and American Moderns",Scott Herring
9780393972863,Autobiography of an Ex-Colored Man (Norton Critical Editions),James Weldon Johnson,"Sex, Gender, and American Moderns",Scott Herring
9780393979169,Passing (Norton Critical Edition), Nella Larsen,"Sex, Gender, and American Moderns",Scott Herring
