isbn,book_title,author,class_title,professor
0199683670,Philosophy in the Islamic World: A Very Short Introduction,Peter Adamson,An Introduction to Arabic Philosophy,Greyson Abid
0872208710,Classical Arabic Philosophy: An Anthology of Sources,Jon McGinnis; David C. Reisman,An Introduction to Arabic Philosophy,Greyson Abid
9780231144896,Contemporary Arab Thought: Cultural Critique in Comparative Perspective,Elizabeth Kassab,Arabic and Islamic Philosophy,Bassam Romaya
9780745645995,Islamic Philosophy,Oliver Leaman,Arabic and Islamic Philosophy,Bassam Romaya
9780872208711,Classical Arabic Philosophy: An Anthology of Sources,Jon McGinnis; David C. Reisman,Arabic and Islamic Philosophy,Bassam Romaya
684717255,I and Thou,M. Buber,Abrahamic Religious Thought,Michael P. Berman
9780061173943,"Jesus, Interrupted",Bart D. Ehrman,Abrahamic Religious Thought,Michael P. Berman
807002291,The Place of Tolerance in Islam,Khaled Abou El fadl,Abrahamic Religious Thought,Michael P. Berman
192853449,The Koran: A Very Short Introduction,Michael Cook,Abrahamic Religious Thought,Michael P. Berman
9780195141283,Makers of Contemporary Islam,John L. Esposito; John Voll,Abrahamic Religious Thought,Michael P. Berman
