isbn,book_title,author,class_title,professor
9780819500663,The Original 1939 Notebook of a Return to the Native Land: Bilingual Edition,Aimé Césaire,Black Existentialism,John Drabinski
9781505223378,The Souls of Black Folk,W.E.B. Du Bois,Black Existentialism,John Drabinski
9780802143006,"Black Skin, White Masks",Frantz Fanon,Black Existentialism,John Drabinski
9780802130907,Toward the African Revolution,Frantz Fanon,Black Existentialism,John Drabinski
9780415926447,Existentia Africana: Understanding Africana Existential Thought,Lewis R. Gordon,Black Existentialism,John Drabinski
9780805210477,Anti-Semite and Jew: An Exploration of the Etiology of Hate,Jean-Paul Sartre,Black Existentialism,John Drabinski
9781784876999,Eight Men,Richard Wright,Black Existentialism,John Drabinski
9780230220287,Understanding Disability: From Theory to Practice,Michael Oliver,Feminism and Disability: Intersections and Critical Encounters,Balam Nedim Kenter
9780335196944,Female Forms: Experiencing and Understanding Disability ,Carol Thomas,Feminism and Disability: Intersections and Critical Encounters,Balam Nedim Kenter
9780704344006,Encounters With Strangers: Feminism and Disability,Jenny Morris,Feminism and Disability: Intersections and Critical Encounters,Balam Nedim Kenter
9780230579286,Contours of Ableism: The Production of Disability and Abledness,Fiona Kumari Campbell,Feminism and Disability: Intersections and Critical Encounters,Balam Nedim Kenter
9781137577320,Disability and Difference in Global Contexts: Enabling a Transformative Body Politic,Nirmala Erevelles,Feminism and Disability: Intersections and Critical Encounters,Balam Nedim Kenter
9781435600393,Crip Theory: Cultural Signs of Queerness and Disability,Robert McRuer,Feminism and Disability: Intersections and Critical Encounters,Balam Nedim Kenter
9780253009340,"Feminist, Queer, Crip",Alison Kafer,Feminism and Disability: Intersections and Critical Encounters,Balam Nedim Kenter
9780199325351,"Trans Bodies, Trans Selves: A Resource for the Transgender Community",Laura Erickson-Schroth,Feminism and Disability: Intersections and Critical Encounters,Balam Nedim Kenter
9780822369189,"The Right to Maim: Debility, Capacity, Disability",Jasbir K. Puar,Feminism and Disability: Intersections and Critical Encounters,Balam Nedim Kenter
9781551527383,Care Work: Dreaming Disability Justice,Leah Lakshmi Piepzna-Samarasinha,Feminism and Disability: Intersections and Critical Encounters,Balam Nedim Kenter
9781478025009,Black Disability Politics,Sami Schalk,Feminism and Disability: Intersections and Critical Encounters,Balam Nedim Kenter
9780415953344,The Disability Studies Reader,Lennard Davis,Feminism and Disability: Intersections and Critical Encounters,Balam Nedim Kenter
9780472067480,Narrative Prosthesis: Disability and the Dependencies of Discourse,David T. Mitchell; Sharon L. Snyder,Feminism and Disability: Intersections and Critical Encounters,Balam Nedim Kenter
9780822370888,"Bodyminds Reimagined: (Dis)ability, Race, and Gender in Black Women's Speculative Fiction",Sami Schalk,Feminism and Disability: Intersections and Critical Encounters,Balam Nedim Kenter
9780367220037,The Disability Bioethics Reader,Joel Michael Reynolds; Christine Wieseler,Feminism and Disability: Intersections and Critical Encounters,Balam Nedim Kenter
9780253212818,The Faces of Intellectual Disability: Philosophical Reflections,Licia Carlson,Feminism and Disability: Intersections and Critical Encounters,Balam Nedim Kenter
9780822318651,The Repeating Island: The Caribbean and the Postmodern Perspective,Antonio Benitez-Rojo,The Afro-Postmodern,John Drabinski
9782070733231,In Praise of Creoleness,Jean Bernabe; Patrick Chamoiseau; Raphael Confiant,The Afro-Postmodern,John Drabinski
9780262025331,William Pope.L: The Friendliest Black Artist in America,Mark Bessire,The Afro-Postmodern,John Drabinski
9780472066292,Poetics of Relation,Édouard Glissant,The Afro-Postmodern,John Drabinski
9780816641956,The Collected Poems Of Édouard Glissant,Édouard Glissant,The Afro-Postmodern,John Drabinski
9780262632874,Rhythm Science, Paul D. Miller,The Afro-Postmodern,John Drabinski
