isbn,book_title,author,class_title,professor
9780547247960,Whatever it takes,Paul Tough,"Identity, Diversity, and Policy in U.S. Education",Craig Canfield
9780316327930,I Am Malala: How One Girl Stood Up for Education and Changed the World (Young Readers Edition),Malala Yousafzai,"Identity, Diversity, and Policy in U.S. Education",Craig Canfield
9780399592690,The Undocumented Americans,Karla Cornejo Villavicencio,"Identity, Diversity, and Policy in U.S. Education",Craig Canfield
9781620972489,Cutting School,Noliwe M. Rooks,"Identity, Diversity, and Policy in U.S. Education",Craig Canfield
9780440848714,Savage inequalities,Jonathan Kozol,"Identity, Diversity, and Policy in U.S. Education",Craig Canfield
9781565126732,Work Hard. Be Nice,Jay Mathews,"Identity, Diversity, and Policy in U.S. Education",Craig Canfield
9781929610679,Use your words,Carol Garhart Mooney,Theory and Practice of Early Childhood Education,Carla Horwitz
9780807747308,The Having of Wonderful Ideas,Eleanor Duckworth,Theory and Practice of Early Childhood Education,Carla Horwitz
9780807769188,Observing and Recording the Behavior of Young Children,Dorothy H. Cohen,Theory and Practice of Early Childhood Education,Carla Horwitz
9780787972554,Reframing Organizations,Lee G. Bolman,Educational Design: The Form and Function of Schooling and Learning,Richard Lemons
