isbn,book_title,author,class_title,professor
9780140437492,"The History of Mary Prince, A West Indian Slave (1883)",Mary Prince,Readings in Comparative World English Literatures,Joe Cleary
9780156106757,Banjo (1929),Claude McKay,Readings in Comparative World English Literatures,Joe Cleary
9780374531874,The Autobiography of My Mother (1996),Jamaica Kincaid,Readings in Comparative World English Literatures,Joe Cleary
9780199538058,The Playboy of the Western World (1907),J. M. Synge,Readings in Comparative World English Literatures,Joe Cleary
9780393978513,Dubliners (1914),James Joyce,Readings in Comparative World English Literatures,Joe Cleary
9780143106760,A Grain of Wheat (1967),Ngũgĩ wa Thiong’o,Readings in Comparative World English Literatures,Joe Cleary
9780143116929,Waiting for the Barbarians (1980),J. M. Coetzee,Readings in Comparative World English Literatures,Joe Cleary
9780375707490,Lives of Girls and Women (1971),Alice Munro,Readings in Comparative World English Literatures,Joe Cleary
9780812979657,The God of Small Things (1997),Arundhati Roy,Readings in Comparative World English Literatures,Joe Cleary
9780142437681,The Portable Walt Whitman,Walt Whitman,Readings in American Literature,Michael Warner
9780393972832,Moby-Dick,Herman Melville,Readings in American Literature,Michael Warner
9780674018242,The Poems of Emily Dickinson: Reading Edition,Emily Dickinson,Readings in American Literature,Michael Warner
9780393934144,The Marrow of Tradition,Charles Chesnutt,Readings in American Literature,Michael Warner
9780061120060,Their Eyes Were Watching God,Zora Neale Hurston,Readings in American Literature,Michael Warner
9781400033423,Song of Solomon,Toni Morrison,Readings in American Literature,Michael Warner
9780199537600,Selected Poetry,Alexander Pope,Readings in English Poetry II,Anastasia Eccles
9780140424300,Complete Writings,Phillis Wheatley,Readings in English Poetry II,Anastasia Eccles
9780192840448,Major Works,William Wordsworth,Readings in English Poetry II,Anastasia Eccles
9780674018242,The Poems of Emily Dickinson: Reading Edition,Emily Dickinson,Readings in English Poetry II,Anastasia Eccles
9780374532369,Poems,Elizabeth Bishop,Readings in English Poetry II,Anastasia Eccles
9780060882969,Selected Poems,Gwendolyn Brooks,Readings in English Poetry II,Anastasia Eccles
