isbn,book_title,author,class_title,professor
9780691000671,A Spinoza Reader: The Ethics and Other Works,Baruch de Spinoza,17th Century Philosophy,Charlotte Sabourin
9780872201927,Meditations on First Philosophy,Rene Descartes,17th Century Philosophy,Charlotte Sabourin
9780226305561,Apology for the Woman Writing and Other Works,Marie le Jars de Gournay,17th Century Philosophy,Charlotte Sabourin
9780889463035,Equality of the Two Sexes: A 17th-Century French Treatise on the State of Women,Francois Poulain De LA Barre,17th Century Philosophy,Charlotte Sabourin
9780615954035,A Serious Proposal to the Ladies,Mary Astell,17th Century Philosophy,Charlotte Sabourin
9780521776752,Observations upon Experimental Philosophy,Margaret Cavendish,17th Century Philosophy,Charlotte Sabourin
9780872202160,An Essay Concerning Human Understanding,John Locke,17th Century Philosophy,Charlotte Sabourin
9780521576604,New Essays on Human Understanding,Gottfried Wilhelm Leibniz,17th Century Philosophy,Charlotte Sabourin
9780872202160,An Essay Concerning Human Understanding,John Locke,Descartes to Kant,Rob Wilson
9780872201927,Meditations on First Philosophy,Rene Descartes,Descartes to Kant,Rob Wilson
9780226204420,The Correspondence between Princess Elisabeth of Bohemia and René Descartes,Princess Elisabeth of Bohemia; René Descartes,Descartes to Kant,Rob Wilson
9780521576604,New Essays on Human Understanding,Gottfried Wilhelm Leibniz,Descartes to Kant,Rob Wilson
9780141395098,Leviathan,Thomas Hobbes,Descartes to Kant,Rob Wilson
9781409989189,De Cive (The Citizen: Rudiments Concerning Government and Society),Thomas Hobbes,Descartes to Kant,Rob Wilson
9780872204584,The Idea of Race,Robert Bernasconi; Tommy Lott,Descartes to Kant,Rob Wilson
9780801472749,Race and Racism in Modern Philosophy,Andrew Valls,Descartes to Kant,Rob Wilson
9780813379388,A Mind Of One's Own: Feminist Essays On Reason And Objectivity,Louise Antony; Charlotte Witt,Descartes to Kant,Rob Wilson
9694082331,The Conclusive Argument from God,Shāh Walī Allāh,Modern Philosophy,Paul Neiman
9780521633505,Margaret Cavendish: Political Writings,Margaret Cavendish,Modern Philosophy,Paul Neiman
0872207986,"Meditations, Objections, and Replies",Rene Descartes,Modern Philosophy,Paul Neiman
9780226168074,Selected Philosophical and Scientific Writings,Emilie Du Châtelet,Modern Philosophy,Paul Neiman
9780140431957,Leviathan,Thomas Hobbes,Modern Philosophy,Paul Neiman
0872204022,"Dialogues Concerning Natural Religion: the Posthumous Essays of the Immortality
of the Soul and of Suicide",David Hume,Modern Philosophy,Paul Neiman
0140447474,Critique of Pure Reason,Immanuel Kant,Modern Philosophy,Paul Neiman
0521357306,Two Treatises of Government,John Locke,Modern Philosophy,Paul Neiman
0521424453,Rousseau: ‘The Discourses’ and Other Early Political Writings,Jean-Jacques Rousseau,Modern Philosophy,Paul Neiman
9780521424462,Rousseau: The Social Contract and other later political writings,Jean-Jacques Rousseau,Modern Philosophy,Paul Neiman
