isbn,book_title,author,class_title,professor
9780674019133,A Fire in Their Hearts,Tony Michels,"American Jewish Citizenship Politics, From Revolution to Civil Rights",Jacob Morrow-Spitzer
9781479895991,Making Judaism Safe for America,Jessica Cooperman,"American Jewish Citizenship Politics, From Revolution to Civil Rights",Jacob Morrow-Spitzer
9781306540643,After They Closed the Gates,Libby Garland,"American Jewish Citizenship Politics, From Revolution to Civil Rights",Jacob Morrow-Spitzer
9780691170732,American Jewish Philanthropic Complex,Lila Corwin Berman,"American Jewish Citizenship Politics, From Revolution to Civil Rights",Jacob Morrow-Spitzer
9780300267853,Our Palestine Question,Geoffrey Phillip Levin,"American Jewish Citizenship Politics, From Revolution to Civil Rights",Jacob Morrow-Spitzer
9780061173936,"Jesus, Interrupted",Bart D. Ehrman,Abrahamic Religious Thought,Michael P. Berman
0807002291,The Place of Tolerance in Islam,Khaled Abou El fadl,Abrahamic Religious Thought,Michael P. Berman
0192853449,The Koran: A Very Short Introduction,Michael Cook,Abrahamic Religious Thought,Michael P. Berman
9780195141283,Makers of Contemporary Islam,John L. Esposito; John Voll,Abrahamic Religious Thought,Michael P. Berman
9780809123339,"The Contemplative Life, Giants and Selections",Philo of Alexandria,Jewish Philosophy,Peter Groff
9780872203242,The Guide of the Perplexed,Moses Maimonides; Daniel H. Frank,Jewish Philosophy,Peter Groff
9780872206076,Theological-Political Treatise,Baruch Spinoza,Jewish Philosophy,Peter Groff
9781578989973,I and Thou,Martin Buber,Jewish Philosophy,Peter Groff
9788426413451,ichmann in Jerusalem: A Report on the Banality of Evil,Hannah Arendt,Jewish Philosophy,Peter Groff
9780631164470,The Levinas Reader,Emmanuel Levinas,Jewish Philosophy,Peter Groff
9780140448948,City of God,Augustine of Hippo,Medieval Philosophy,Peter Groff
9780934893770,The Metaphysics of The Healing,Avicenna,Medieval Philosophy,Peter Groff
9780872203242,The Guide of the Perplexed,Moses Maimonides; Daniel H. Frank,Medieval Philosophy,Peter Groff
9781928832430,Aquinas's Shorter Summa,St. Thomas Aquinas,Medieval Philosophy,Peter Groff
