978-1783253853, Rest is Resistance: Free yourself from grind culture and reclaim your life, Tricia Hersey
978-1403948981," What's Left of Blackness: Feminisms, Transracial Solidarities, and the Politics of Belonging in Britain", Tracy Fisher
978-0819564583, Out of KUMBLA: Caribbean Women and Literature, Carole Boyce Davies and Elaine Savory Fido (Editors)
978-0226768795," Black, White and In Color: essays on American literature and culture", Hortense Spillers
978-0816623276, The Invention of Women: Making African Sense of Western Gender Discourses,Oyèrónké Oyêwùmí
978-0814745413, The Other Side of Terror: Black Women and the Culture of US Empire, Erica Edwards
978-1138200517, The Impact of Global Drug Policy on Women: Shifting the Needle,"Julia Buxton, Giavana Margo, Lona Burger (Editors)"
978-0822362942, In the Wake: On Blackness and Being, Christina Sharpe
978-0822351250, European Others: Queering Ethnicity in Post-National Europe, Fatima El-Tayeb
978-0822361518, White Innocence: Paradoxes of Colonialism and Race, Gloria Wekker
978-1134831044, Cartographies of Diaspora: Contesting Identities, Avtar Brah
978-0822335229,"Pedagogies of Crossing: Meditations on Feminism, Sexual Politics, Memory, and the Sacred", M. Jacqui Alexander
978-9351941379, Interleaves: Ruminations on Illness and Spiritual Life, Lata Mani
978-0385417954, Black Women Writers 1950â€“1980: A Critical Evaluation, Mari Evans (Editor)
